Wall time,Step,Value
1717666550.6019742,320,28.0
1717666551.8814075,640,9.0
1717666553.1767068,960,30.0
1717666554.5158396,1280,7.0
1717666555.7869334,1600,13.0
1717666557.0838838,1920,8.0
1717666558.363596,2240,30.0
1717666559.688059,2560,30.0
1717666560.9907725,2880,17.0
1717666562.3270679,3200,7.0
1717666563.6721537,3520,7.0
1717666564.9969747,3840,6.0
1717666566.3447366,4160,6.0
1717666567.6950436,4480,7.0
1717666569.0320024,4800,6.0
1717666570.3911862,5120,5.0
1717666573.011516,5500,28.0
1717666574.2968178,5820,25.0
1717666575.5547316,6140,94.0
1717666576.823922,6460,100.0
1717666578.085852,6780,28.0
1717666579.3706436,7100,53.0
1717666580.6384118,7420,38.0
1717666581.926799,7740,27.0
1717666583.1979358,8060,37.0
1717666584.532841,8380,100.0
1717666585.800662,8700,18.0
1717666587.0809612,9020,39.0
1717666588.356607,9340,17.0
1717666589.6586957,9660,100.0
1717666590.950981,9980,24.0
1717666592.2365851,10300,32.0
1717666593.5469086,10620,31.0
1717666596.2258053,10950,28.0
1717666597.7128046,11270,30.0
1717666599.2136424,11590,30.0
1717666602.6627991,12130,24.0
1717666603.985108,12450,22.0
1717666605.3005824,12770,19.0
1717666606.614795,13090,1.0
1717666607.9306757,13410,16.0
1717666609.2689946,13730,40.0
1717666610.5905018,14050,48.0
1717666611.9378045,14370,26.0
1717666613.2956986,14690,19.0
1717666614.662547,15010,18.0
1717666615.9973638,15330,25.0
1717666617.3337467,15650,47.0
1717666618.6778193,15970,19.0
1717666620.0192246,16290,14.0
1717666621.3538933,16610,25.0
1717666622.6855347,16930,55.0
1717666624.0718453,17250,29.0
1717666625.4328623,17570,37.0
1717666626.7927103,17890,34.0
1717666628.171532,18210,24.0
1717666629.5328374,18530,18.0
1717666630.8957386,18850,56.0
1717666632.2500565,19170,25.0
1717666633.6085863,19490,27.0
1717666634.970557,19810,16.0
1717666636.3292503,20130,27.0
1717666637.7028677,20450,18.0
1717666639.0666795,20770,18.0
1717666640.4106555,21090,19.0
1717666641.7665431,21410,14.0
1717666643.116928,21730,25.0
1717666644.4847658,22050,22.0
1717666645.8109016,22370,32.0
1717666647.2210803,22690,16.0
1717666648.5778997,23010,29.0
1717666649.982216,23330,27.0
1717666651.3407836,23650,14.0
1717666654.4524124,24060,19.0
1717666656.0246797,24380,19.0
1717666657.586678,24700,19.0
1717666659.1562066,25020,19.0
1717666660.7337713,25340,19.0
1717666662.32968,25660,19.0
1717666663.9069333,25980,19.0
1717666665.4746034,26300,233.0
1717666667.020509,26620,281.0
1717666668.5866642,26940,316.0
1717666670.169998,27260,348.0
1717666671.7420833,27580,348.0
1717666673.3506107,27900,348.0
1717666674.9466326,28220,348.0
1717666676.5207775,28540,348.0
1717666678.065667,28860,257.0
1717666679.6238358,29180,227.0
1717666681.187737,29500,255.0
1717666682.7909303,29820,322.0
1717666684.3927352,30140,284.0
1717666685.990492,30460,284.0
1717666687.574803,30780,350.0
1717666689.130213,31100,185.0
1717666690.7178342,31420,195.0
1717666692.3127856,31740,200.0
1717666693.9041495,32060,217.0
1717666695.4795704,32380,217.0
1717666697.0406916,32700,217.0
1717666698.6170464,33020,295.0
1717666700.1733568,33340,250.0
1717666701.7347543,33660,198.0
1717666703.330607,33980,225.0
1717666704.9679804,34300,222.0
1717666706.5579154,34620,222.0
1717666708.1556356,34940,214.0
1717666709.7452235,35260,199.0
1717666711.297167,35580,199.0
1717666712.8905091,35900,199.0
1717666714.495879,36220,267.0
1717666716.0618122,36540,225.0
1717666717.703699,36860,294.0
1717666719.2997355,37180,209.0
1717666720.8787634,37500,228.0
1717666722.4958076,37820,265.0
1717666724.072711,38140,265.0
1717666725.6418402,38460,200.0
1717666727.2144778,38780,200.0
1717666728.7968333,39100,215.0
1717666730.3976576,39420,218.0
1717666731.9730892,39740,259.0
1717666733.584799,40060,220.0
1717666735.170623,40380,196.0
1717666736.7218404,40700,242.0
1717666738.305716,41020,183.0
1717666739.8736007,41340,183.0
1717666741.4765065,41660,275.0
1717666743.0885668,41980,216.0
1717666747.572907,42560,216.0
1717666749.70087,42880,216.0
1717666751.8182218,43200,216.0
1717666753.9197018,43520,216.0
1717666756.1007586,43840,216.0
1717666758.2167988,44160,189.0
1717666760.318887,44480,206.0
1717666762.4128625,44800,206.0
1717666764.5617502,45120,206.0
1717666766.6300375,45440,206.0
1717666768.7164419,45760,161.0
1717666770.7614257,46080,172.0
1717666772.8639836,46400,206.0
1717666774.9758146,46720,206.0
1717666777.074609,47040,206.0
1717666779.18372,47360,206.0
1717666781.2437532,47680,154.0
1717666783.3435338,48000,177.0
1717666785.4717383,48320,184.0
1717666787.5662599,48640,184.0
1717666789.6686988,48960,184.0
1717666791.7509933,49280,184.0
1717666793.9475625,49600,200.0
1717666796.1644547,49920,205.0
1717666798.3606799,50240,188.0
1717666800.5556717,50560,228.0
1717666802.751703,50880,228.0
1717666804.953674,51200,228.0
1717666807.1598244,51520,181.0
1717666809.3409314,51840,181.0
1717666811.5334835,52160,400.0
1717666813.7167783,52480,400.0
1717666815.882829,52800,240.0
1717666818.0361483,53120,240.0
1717666820.2696009,53440,190.0
1717666822.3639712,53760,160.0
1717666824.4715257,54080,160.0
1717666826.6060045,54400,215.0
1717666828.697837,54720,276.0
1717666830.7926264,55040,183.0
1717666832.8701167,55360,186.0
1717666834.989678,55680,189.0
1717666837.0880876,56000,189.0
1717666839.2064607,56320,200.0
1717666841.3010628,56640,229.0
1717666843.3508408,56960,204.0
1717666845.4653475,57280,175.0
1717666847.5888245,57600,221.0
1717666849.7177043,57920,221.0
1717666851.8196976,58240,193.0
1717666853.903714,58560,167.0
1717666855.9892159,58880,167.0
1717666858.1028621,59200,230.0
1717666860.218523,59520,216.0
1717666862.3516662,59840,225.0
1717666864.4535136,60160,225.0
1717666866.5697544,60480,377.0
1717666868.6885788,60800,196.0
1717666870.7850611,61120,221.0
1717666872.9010937,61440,205.0
1717666874.978532,61760,235.0
1717666877.0918014,62080,235.0
1717666879.2446728,62400,216.0
1717666881.3396633,62720,216.0
1717666883.445681,63040,202.0
1717666885.5356638,63360,258.0
1717666887.618457,63680,241.0
1717666889.7473211,64000,219.0
1717666891.8488023,64320,219.0
1717666893.9906983,64640,199.0
1717666896.110466,64960,199.0
1717666898.1925745,65280,199.0
1717666900.2688208,65600,224.0
1717666902.4488199,65920,201.0
1717666904.5615232,66240,179.0
1717666906.6915455,66560,206.0
1717666908.7855566,66880,206.0
1717666910.866098,67200,181.0
1717666913.0014975,67520,206.0
1717666915.1231918,67840,182.0
1717666917.237247,68160,239.0
1717666919.3658862,68480,238.0
1717666921.4416323,68800,238.0
1717666923.5681536,69120,238.0
1717666925.6820645,69440,215.0
1717666927.7852237,69760,192.0
1717666929.903043,70080,227.0
1717666932.0027208,70400,227.0
1717666934.1725533,70720,227.0
1717666936.322185,71040,262.0
1717666938.4276073,71360,190.0
1717666940.5683966,71680,196.0
1717666942.7005322,72000,196.0
1717666944.8566484,72320,207.0
1717666946.9651926,72640,400.0
1717666949.0964463,72960,184.0
1717666951.1799245,73280,176.0
1717666953.2507646,73600,157.0
1717666955.404781,73920,204.0
1717666957.5208087,74240,186.0
1717666959.616346,74560,160.0
1717666961.7385366,74880,190.0
1717666963.8246198,75200,174.0
1717666965.8949783,75520,206.0
1717666968.0675325,75840,210.0
1717666970.1694398,76160,193.0
1717666972.2625659,76480,228.0
1717666974.4654448,76800,208.0
1717666976.6818125,77120,208.0
1717666978.8953826,77440,154.0
1717666981.119986,77760,163.0
1717666983.357521,78080,245.0
1717666985.593672,78400,171.0
1717666987.8444242,78720,338.0
1717666990.058486,79040,338.0
1717666992.27257,79360,186.0
1717666994.46248,79680,170.0
1717666996.6044114,80000,255.0
1717666998.7495122,80320,184.0
1717667000.98752,80640,210.0
1717667003.1005306,80960,245.0
1717667005.2584362,81280,245.0
1717667007.3795688,81600,199.0
1717667009.4834404,81920,227.0
1717667011.5939293,82240,167.0
1717667013.728485,82560,260.0
1717667015.8196876,82880,208.0
1717667017.9217105,83200,208.0
1717667020.029486,83520,197.0
1717667022.125358,83840,283.0
1717667024.210617,84160,195.0
1717667026.314629,84480,242.0
1717667028.4206548,84800,213.0
1717667030.5344183,85120,223.0
1717667032.6474655,85440,198.0
1717667034.7886176,85760,183.0
1717667036.9294076,86080,193.0
1717667039.053358,86400,196.0
1717667041.1526022,86720,209.0
1717667043.2616346,87040,250.0
1717667045.3959014,87360,277.0
1717667047.513379,87680,225.0
1717667049.5743546,88000,225.0
1717667051.6823957,88320,199.0
1717667053.7813823,88640,205.0
1717667055.9215736,88960,182.0
1717667058.0440862,89280,199.0
1717667060.1556385,89600,246.0
1717667062.2676678,89920,246.0
1717667064.3824396,90240,196.0
1717667066.4958687,90560,220.0
1717667068.6163795,90880,253.0
1717667070.748461,91200,205.0
1717667072.856905,91520,212.0
1717667074.9794767,91840,212.0
1717667077.0856893,92160,179.0
1717667079.2056844,92480,237.0
1717667081.3034933,92800,173.0
1717667083.3973498,93120,207.0
1717667085.5106604,93440,227.0
1717667087.5806875,93760,227.0
1717667089.727677,94080,203.0
1717667091.8234358,94400,180.0
1717667093.9224215,94720,202.0
1717667096.0094526,95040,178.0
1717667098.1454945,95360,214.0
1717667104.3292966,96470,214.0
1717667108.3127182,97430,59.0
1717667112.2965891,98390,43.0
1717667116.431603,99350,35.0
1717667120.5017474,100310,76.0
1717667131.834213,102800,32.0
1717667139.4185839,104720,53.0
1717667147.0957701,106640,36.0
1717667154.7411711,108560,33.0
1717667168.8416903,111520,39.0
1717667174.6083612,112800,55.0
1717667180.468697,114080,66.0
1717667186.2831483,115360,57.0
1717667192.1887538,116640,57.0
1717667198.1060846,117920,68.0
1717667216.621205,121360,59.0
1717667229.0799484,123920,50.0
1717667241.4036689,126480,45.0
1717667253.8736541,129040,32.0
1717667266.1154807,131600,39.0
1717667278.6568818,134160,40.0
1717667292.6905484,137040,40.0
1717667302.3753338,139600,55.0
1717667311.7172124,142160,70.0
1717667321.0265207,144720,127.0
1717667331.0461266,147280,50.0
1717667340.680129,149840,86.0
1717667350.3660815,152400,47.0
1717667360.370731,154960,78.0
1717667370.159427,157520,60.0
